R1/R2
Excited states (eigenvectors of M)

========================================
STATE 1  E = -1.860537937921
========================================
Excitations | Coefficients
6^, 27^, 3	| 2.737706783611842e-15

========================================
STATE 13  E = -1.276225623526
========================================
Excitations | Coefficients
4^, 0	| 0.2317421285353543
6^, 0	| 1.3796419387211507e-14
5^, 1	| -0.22704277658855923
7^, 1	| 5.1358698533995487e-14
4^, 2	| -1.3360527513926802e-14
6^, 2	| -0.21758351473645055
5^, 3	| -1.9434200205181005e-14
7^, 3	| 0.2138762863406958
4^, 05^, 1	| -0.5570570026017817
4^, 07^, 1	| -5.611025136706868e-14
6^, 05^, 1	| -7.534538857551268e-14
6^, 07^, 1	| 0.18615665948250537
4^, 06^, 2	| -0.21590083486785727
4^, 05^, 3	| -5.364664557355033e-15
4^, 07^, 3	| -0.03327205648787985
6^, 05^, 3	| 0.25555468243053525
6^, 07^, 3	| -6.082687583372547e-14
5^, 14^, 2	| -2.2230064473882467e-14
5^, 16^, 2	| -0.03370924329176169
7^, 14^, 2	| 0.2520264067115199
7^, 16^, 2	| -4.807142949798395e-14
5^, 17^, 3	| -0.22469897257400173
4^, 25^, 3	| -0.4197207561919193
4^, 27^, 3	| -8.042022853505907e-14
6^, 25^, 3	| -6.169662589064608e-14
6^, 27^, 3	| -0.22881771244911428

========================================
STATE 14  E = -1.273304980848
========================================
Excitations | Coefficients
4^, 0	| 0.06609705180430579
6^, 0	| -1.5279828618457264e-14
5^, 1	| 0.06422310981233653
7^, 1	| -5.749070670911482e-15
4^, 2	| 1.4731235659559846e-14
6^, 2	| -0.0571976900714543
5^, 3	| -5.86470205602155e-16
7^, 3	| -0.055727850226089684
4^, 05^, 1	| -0.0037372404579369945
4^, 07^, 1	| -2.1584104160288997e-15
6^, 05^, 1	| -1.2767677468088848e-14
6^, 07^, 1	| 0.001260411988193678
4^, 06^, 2	| -0.6507498864436898
4^, 05^, 3	| -1.552324386236705e-15
4^, 07^, 3	| -0.03993484358840999
6^, 05^, 3	| -0.2618272203318261
6^, 07^, 3	| 4.27514662219311e-15
5^, 14^, 2	| -2.0036059214517633e-14
5^, 16^, 2	| 0.039545442212258315
7^, 14^, 2	| 0.2652217767792888
7^, 16^, 2	| 3.627818378214432e-15
5^, 17^, 3	| 0.6477447689676162
4^, 25^, 3	| -0.002834033121176946
4^, 27^, 3	| 1.5268160676465424e-14
6^, 25^, 3	| 6.5348970631728075e-15
6^, 27^, 3	| -0.0015482803023873727

========================================
STATE 15  E = -1.156828099603
========================================
Excitations | Coefficients
4^, 0	| 0.04254038683765227
6^, 0	| 3.3182746113612277e-13
5^, 1	| 0.0426317667852843
7^, 1	| -3.4158224235827945e-13
4^, 2	| -2.330394822226449e-13
6^, 2	| 0.17515256149444786
5^, 3	| 2.11636414919729e-13
7^, 3	| 0.17766015283025455
4^, 05^, 1	| 0.0008933610070077322
4^, 07^, 1	| -7.372193345070591e-13
6^, 05^, 1	| 1.3168047517833792e-13
6^, 07^, 1	| -0.00038778326206349807
4^, 06^, 2	| 0.11302756803840684
4^, 05^, 3	| -4.2161042700679454e-13
4^, 07^, 3	| -0.6409207618159405
6^, 05^, 3	| -0.20898024740496993
6^, 07^, 3	| 2.4354186428207304e-13
5^, 14^, 2	| 2.6722080652651547e-13
5^, 16^, 2	| 0.6404296173477315
7^, 14^, 2	| 0.20962304128723602
7^, 16^, 2	| -5.450312647832678e-13
5^, 17^, 3	| -0.11317864591030083
4^, 25^, 3	| -5.3020347200643226e-05
4^, 27^, 3	| 4.66582465229234e-13
6^, 25^, 3	| -8.682960422265835e-13
6^, 27^, 3	| -0.0012763197961047868

========================================
STATE 16  E = -1.154958293168
========================================
Excitations | Coefficients
4^, 0	| 9.06467063791304e-14
6^, 0	| -0.22674110357545596
5^, 1	| 9.620474976040705e-14
7^, 1	| 0.23002127529782623
4^, 2	| 0.15048237896028294
6^, 2	| 2.583372974877487e-13
5^, 3	| -0.1521377345049997
7^, 3	| 2.5242993562205543e-13
4^, 05^, 1	| -2.873530353277633e-14
4^, 07^, 1	| 0.30253698650471467
6^, 05^, 1	| -0.3004846826986481
6^, 07^, 1	| -5.0721454248821024e-14
4^, 06^, 2	| 1.7976389002729795e-13
4^, 05^, 3	| 0.23571711661106393
4^, 07^, 3	| -1.0540822963060273e-12
6^, 05^, 3	| -2.5870101510710656e-13
6^, 07^, 3	| -0.26204556762641384
5^, 14^, 2	| -0.23513020603220997
5^, 16^, 2	| 1.026116352908585e-12
7^, 14^, 2	| 2.5028869705230174e-13
7^, 16^, 2	| 0.26304860834428373
5^, 17^, 3	| -1.4072905210638443e-13
4^, 25^, 3	| 4.1957314675606666e-14
4^, 27^, 3	| -0.45720591121645376
6^, 25^, 3	| 0.45860626632663876
6^, 27^, 3	| 3.296235885461722e-14

========================================
STATE 17  E = -1.153887432411
========================================
Excitations | Coefficients
4^, 0	| -3.674968131728914e-14
6^, 0	| -0.00026225887783842995
5^, 1	| -1.8365656553349588e-14
7^, 1	| 0.0008014924785488813
4^, 2	| -0.030488239511553872
6^, 2	| -2.5885335636357228e-14
5^, 3	| -0.03064776945700342
7^, 3	| -1.170252163909247e-13
4^, 05^, 1	| 1.283594494570995e-13
4^, 07^, 1	| -0.5342178992870439
6^, 05^, 1	| -0.535414621298296
6^, 07^, 1	| 4.264337113918909e-14
4^, 06^, 2	| -8.056056846785047e-14
4^, 05^, 3	| -0.14748533954272863
4^, 07^, 3	| 4.3666170605859746e-13
6^, 05^, 3	| 1.2443400181961503e-13
6^, 07^, 3	| -0.261432385147247
5^, 14^, 2	| -0.1483583193600824
5^, 16^, 2	| -2.6775415361640533e-13
7^, 14^, 2	| -2.2611632185178825e-13
7^, 16^, 2	| -0.2604404141585409
5^, 17^, 3	| 9.534205185948614e-14
4^, 25^, 3	| 5.897666985212494e-14
4^, 27^, 3	| -0.35167334954430013
6^, 25^, 3	| -0.34994360585140594
6^, 27^, 3	| 2.6448204101061837e-14

========================================
STATE 18  E = -1.139028990191
========================================
Excitations | Coefficients
4^, 0	| -0.1452347840833676
6^, 0	| -2.1699673440034603e-14
5^, 1	| -0.14831695398608072
7^, 1	| 5.164720151921888e-14
4^, 2	| 3.0616767933883847e-15
6^, 2	| 0.0780304160375392
5^, 3	| -3.0019843780249596e-14
7^, 3	| 0.08021398842204598
4^, 05^, 1	| -2.983387142127296e-05
4^, 07^, 1	| 8.017610005983712e-15
6^, 05^, 1	| -1.0481227090997088e-13
6^, 07^, 1	| 0.000381266031676865
4^, 06^, 2	| 0.20926818429148045
4^, 05^, 3	| 3.580948764598284e-15
4^, 07^, 3	| 0.2471447426688618
6^, 05^, 3	| -0.6062486917125776
6^, 07^, 3	| -1.4112899305089344e-14
5^, 14^, 2	| -4.175612023659628e-14
5^, 16^, 2	| -0.24684069583712923
7^, 14^, 2	| 0.6059949117448895
7^, 16^, 2	| 7.861823517072595e-15
5^, 17^, 3	| -0.20931887737865262
4^, 25^, 3	| -2.931758004430712e-05
4^, 27^, 3	| -9.138323178890407e-14
6^, 25^, 3	| 2.6650414395708243e-14
6^, 27^, 3	| 0.00018486692774058618

========================================
STATE 19  E = -1.094524858932
========================================
Excitations | Coefficients
4^, 0	| -0.13819910971243715
6^, 0	| -1.4760140692035204e-14
5^, 1	| 0.13520772592419963
7^, 1	| 1.4728141778874795e-14
4^, 2	| 2.222729999468397e-14
6^, 2	| 0.13064642720444794
5^, 3	| 1.3053709031163421e-15
7^, 3	| -0.12803390500864748
4^, 05^, 1	| 0.270781665957357
4^, 07^, 1	| 6.965692887540205e-14
6^, 05^, 1	| 3.581326648649724e-14
6^, 07^, 1	| 0.6938028176786089
4^, 06^, 2	| -0.16807275571521593
4^, 05^, 3	| 4.7058592749577057e-14
4^, 07^, 3	| 0.29173431726385196
6^, 05^, 3	| -0.12368781045405146
6^, 07^, 3	| 2.2575802652101907e-14
5^, 14^, 2	| 1.283772096540267e-14
5^, 16^, 2	| 0.2921085602278989
7^, 14^, 2	| -0.12406491725416569
7^, 16^, 2	| 5.819011255682224e-14
5^, 17^, 3	| -0.1680167094307317
4^, 25^, 3	| -0.34102193634510053
